ral_id|query_id|kernel_id|input_num_rows|input_num_bytes|output_num_rows|output_num_bytes|event_type|timestamp_begin|timestamp_end
0|1746525827|5|94877|133595203|2159|2716901|compute|1599721471083|1599721471130
0|1746525827|4|2159|2716901|2159|2575210|compute|1599721471130|1599721471143
0|1746525827|3|2159|2575210|2159|2575210|compute|1599721471143|1599721471150
0|1668464841|11|93933|9157455|93933|9157455|compute|1599721471666|1599721471666
0|1668464841|6|93933|133527923|93933|133527923|compute|1599721471666|1599721471666
0|1668464841|10|93933|9157455|92718|9453788|compute|1599721471670|1599721471709
0|1668464841|9|92718|9453788|92718|9824660|compute|1599721471710|1599721471716
0|1668464841|8|92718|9824660|944|74832|compute|1599721471716|1599721471721
0|1668464841|7|944|74832|944|67280|compute|1599721471721|1599721471722
0|1668464841|5|94877|133595203|2159|2716901|compute|1599721471723|1599721471771
0|1668464841|4|2159|2716901|2159|2575210|compute|1599721471771|1599721471784
0|1668464841|3|2159|2575210|2159|2575210|compute|1599721471784|1599721471792
0|1936631356|11|93933|9157455|93933|9157455|compute|1599721509160|1599721509160
0|1936631356|6|93933|127440017|93933|127440017|compute|1599721509160|1599721509160
0|1936631356|10|93933|9157455|92718|9453788|compute|1599721509197|1599721509231
0|1936631356|9|92718|9453788|92718|9824660|compute|1599721509232|1599721509240
0|1936631356|8|92718|9824660|944|74832|compute|1599721509241|1599721509245
0|1936631356|7|944|74832|944|67280|compute|1599721509245|1599721509246
0|1936631356|5|94877|127507297|2159|2559929|compute|1599721509247|1599721509293
0|1936631356|4|2159|2559929|2159|2418238|compute|1599721509293|1599721509305
0|1936631356|3|2159|2418238|2159|2418238|compute|1599721509305|1599721509312
0|1966750668|6|233539|2772426|233539|2772426|compute|1599721616604|1599721616604
0|1966750668|5|233539|2772426|36|873|compute|1599721616605|1599721616606
0|1966750668|4|36|873|36|1017|compute|1599721616606|1599721616607
0|1966750668|3|36|1017|36|1017|compute|1599721616607|1599721616608
0|1966750668|0|36|1017|10|220|compute|1599721616610|1599721616610
0|309856987|3|233539|2802472|233539|2802472|compute|1599721617581|1599721617581
0|309856987|2|233539|2802472|233539|233539|compute|1599721617582|1599721617583
0|309856987|1|233539|233539|1|8|compute|1599721617583|1599721617583
0|309856987|0|1|8|1|8|compute|1599721617583|1599721617583
0|2046892871|1|233539|324066151|233539|324066151|compute|1599721619798|1599721619798
0|2046892871|0|233539|324066151|233539|3736624|compute|1599721619886|1599721619917
0|968323551|38|233539|233539|233539|233539|compute|1599721620047|1599721620047
0|968323551|50|233539|233539|233539|233539|compute|1599721620047|1599721620047
0|968323551|46|233539|233539|233539|233539|compute|1599721620047|1599721620047
0|968323551|42|233539|233539|233539|233539|compute|1599721620049|1599721620049
0|968323551|22|233539|233539|233539|233539|compute|1599721620049|1599721620049
0|968323551|26|233539|233539|233539|233539|compute|1599721620049|1599721620049
0|968323551|18|233539|233539|233539|233539|compute|1599721620050|1599721620050
0|968323551|66|233539|233539|233539|233539|compute|1599721620050|1599721620050
0|968323551|34|233539|233539|233539|233539|compute|1599721620050|1599721620050
0|968323551|62|233539|233539|233539|233539|compute|1599721620051|1599721620051
0|968323551|58|233539|233539|233539|233539|compute|1599721620051|1599721620051
0|968323551|70|233539|233539|233539|233539|compute|1599721620051|1599721620051
0|968323551|74|233539|233539|233539|233539|compute|1599721620051|1599721620051
0|968323551|78|233539|233539|233539|233539|compute|1599721620052|1599721620052
0|968323551|54|233539|233539|233539|233539|compute|1599721620055|1599721620055
0|968323551|30|233539|233539|233539|233539|compute|1599721620055|1599721620055
